,A1,A2,A3,A4,B1,B2,B3,B4,B5,B6,B7,B8,C,Y,Z
A1,0,5,3,7,1,1,1,1,1,1,1,1,1,1,0
A2,1,0,1,3,1,1,1,1,1,1,1,1,1,1,0
A3,1,3,0,5,1,1,1,1,1,1,1,1,1,1,0
A4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
B1,4,4,4,4,0,1,1,1,2,3,3,1,1,1,0
B2,4,4,4,4,1,0,1,1,2,3,3,1,1,1,0
B3,4,4,4,4,1,1,0,1,2,3,3,1,1,1,0
B4,4,4,4,4,1,1,1,0,2,3,3,1,1,1,0
B5,4,4,4,4,1,1,1,1,0,2,2,1,1,1,0
B6,4,4,4,4,1,1,1,1,1,0,1,1,1,1,0
B7,4,4,4,4,1,1,1,1,1,1,0,1,1,1,0
B8,4,4,4,4,3,3,3,3,4,5,5,0,1,1,0
C,4,4,4,4,3,3,3,3,3,3,3,3,0,1,0
Y,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
